"Function","average","connect4.csv","musk.csv","pendigits.csv","spam.csv","testCD.txt","testCDST.txt","testCDST2.txt","testCDST3.txt","testoutrank.txt"
"...-4.0.1/private/get_matlab_bgl_options",0.000222222222222222,0,0.001,0,0,0,0,0,0.001,0
"...aly>TopN_Outlier_Pruning_Block_CTD_ST",0.0336777777777777,0.1889,0.017,0.0294,0.014,0.003,0.004,0.006,0.0258,0.015
"...ce_anomaly>TopN_Outlier_Pruning_Block",6541.36236666667,54979.1754,1179.4173,1793.4331,381.8001,22.8512,165.9119,174.1852,165.5944,9.8927
"...d>create@(b)mx_d_preconditioner(sH,b)",0.000322222222222222,0,0,0,0,0,0.001,0.001,0,0.0009
"...istance_anomaly>knn_components_sparse",338.355822222222,2878.7034,30.9457,106.4938,15.8283,0.7597,4.0193,3.9691,4.0155,0.4676
"...stance_anomaly>connect_components_MST",0.0461111111111111,0.3289,0.012,0.0216,0.0485,0.001,0,0,0.003,0
"...stance_anomaly>connect_components_mix",0.0737666666666666,0.5854,0.022,0.0216,0.028,0.002,0.001,0.003,0,0.0009
"PCADR",0.00164444444444444,0.001,0.001,0.0039,0.0079,0,0,0.001,0,0
"adjacency_cmg (MEX-file)",0.00164444444444444,0.0138,0,0.001,0,0,0,0,0,0
"approx_resistance",0.259311111111111,1.4654,0.1469,0.3363,0.1353,0.0624,0.0557,0.0565,0.0515,0.0238
"axescheck",0.000444444444444444,0,0,0.001,0,0.001,0.001,0.001,0,0
"axis",0.000777777777777778,0,0,0.005,0.001,0.001,0,0,0,0
"axis>LocSetEqual",0.00122222222222222,0,0.002,0.002,0.001,0.001,0.001,0.002,0.002,0
"axis>allAxes",0,0,0,0,0,0,0,0,0,0
"cell.ismember",0.00287777777777778,0.005,0.003,0.005,0.003,0.004,0.002,0.003,0,0.0009
"cell.ismember>cellismemberlegacy",0.00813333333333334,0.0089,0.007,0.0177,0.011,0.0069,0.003,0.006,0.009,0.0037
"cell.strcat",0.000777777777777778,0.002,0,0.003,0,0.001,0,0,0.001,0
"cellstr",0.000555555555555556,0,0,0.001,0.001,0.001,0.001,0,0.001,0
"cholGsparse",0.0687111111111112,0.1777,0.046,0.0656,0.079,0.0452,0.037,0.037,0.032,0.0989
"cmg_dd",0.00264444444444445,0.009,0.002,0.0059,0,0.001,0.001,0.002,0.002,0.0009
"cmg_dd>@(b)mx_d_preconditioner(sH,b)",0.447833333333333,0.9982,0.3301,0.3998,0.3674,0.2355,0.2568,0.229,0.2507,0.963
"cmg_sdd",0.00254444444444445,0.0119,0.003,0.002,0.003,0.001,0,0,0.002,0
"commute_distance_anomaly",0.00416666666666667,0.009,0.001,0.0078,0.005,0.0049,0.001,0.002,0.005,0.0018
"commute_distance_anomaly>dist",326.184844444444,2412.4625,209.0801,138.3517,47.5984,5.452,38.9052,41.9652,39.6088,2.2397
"commute_distance_anomaly>drawGraph",16.3724555555556,110.0349,9.246,13.0705,4.917,0.8527,2.8033,2.8885,2.7648,0.7744
"commute_distance_anomaly>euclidean",6.74363333333333,57.3068,0.3569,0.4792,2.5439,0.001,0.003,0,0,0.0019
"commute_distance_anomaly>sim",6.94701111111111,41.5966,4.735,8.0171,3.013,0.4863,1.4244,1.4748,1.4449,0.331
"commute_distance_anomaly>sim_d",0.0276555555555555,0.1804,0.016,0.0148,0.0327,0.001,0,0.003,0.001,0
"components",0.00166666666666667,0.009,0,0.003,0,0,0.001,0.001,0.001,0
"csvread",0.00111111111111111,0,0.002,0.001,0.002,0,0.001,0.004,0,0
"csvwrite",0.000222222222222222,0,0,0,0,0,0,0,0.002,0
"datamanager.schema",0.000111111111111111,0,0,0.001,0,0,0,0,0,0
"dlmread",0.168155555555556,0.8488,0.4854,0.0723,0.09,0.002,0.006,0.004,0.002,0.0029
"dlmwrite",0.00718888888888889,0.0128,0.014,0.004,0.007,0.007,0.004,0.007,0.005,0.0039
"dlmwrite>parseinput",0.000988888888888889,0,0,0.0049,0.001,0,0.003,0,0,0
"dlmwrite>setcoffset",0.000111111111111111,0,0,0.001,0,0,0,0,0,0
"dlmwrite>setdlm",0.000444444444444444,0,0,0.002,0,0,0,0,0.001,0.001
"dlmwrite>setroffset",0,0,0,0,0,0,0,0,0,0
"effective_degrees",0.000877777777777778,0.0059,0.001,0,0,0,0.001,0,0,0
"fcnchk",0.193533333333333,0.2684,0.2127,0.2483,0.1799,0.2134,0.1329,0.1654,0.1596,0.1612
"forest_components (MEX-file)",0,0,0,0,0,0,0,0,0,0
"graph2d.schema",0,0,0,0,0,0,0,0,0,0
"graph2d/private/lineseriesmex (MEX-file)",0.3106,1.9124,0.2169,0.2972,0.1263,0.0232,0.0723,0.0764,0.0565,0.0142
"graph2dhelper",3.77493333333333,23.3967,2.5218,3.5564,1.4882,0.2575,0.8535,0.8306,0.8642,0.2055
"graphprofile (MEX-file)",0.000444444444444444,0.002,0.001,0,0.001,0,0,0,0,0
"hierarchy",0.0313666666666666,0.1755,0.016,0.0352,0.013,0.0049,0.01,0.013,0.01,0.0047
"hold",0.00198888888888889,0.003,0.005,0.002,0,0.001,0.002,0,0.003,0.0019
"initprintexporttemplate",0.000222222222222222,0.001,0,0.001,0,0,0,0,0,0
"int2str",0.00176666666666667,0.001,0.002,0.003,0.002,0.001,0.002,0.001,0.002,0.0019
"inv_permutation",0,0,0,0,0,0,0,0,0,0
"iscellstr",0.00131111111111111,0.001,0,0.002,0,0.001,0.002,0,0.002,0.0038
"ismember",0.000777777777777778,0.002,0.001,0.001,0,0,0.001,0,0.001,0.001
"ismember>ismemberlegacy",0.00186666666666667,0.003,0,0.0059,0,0,0.001,0.002,0.002,0.0029
"kdtree_build (MEX-file)",0.611944444444444,4.9264,0.2994,0.1758,0.072,0.002,0.011,0.009,0.01,0.0019
"kdtree_k_nearest_neighbors (MEX-file)",165.203822222222,1425.2036,47.2292,4.5333,9.6887,0.0134,0.0466,0.0546,0.0526,0.0124
"laplacian",0,0,0,0,0,0,0,0,0,0
"laplacian2 (MEX-file)",0.000777777777777778,0.006,0,0,0,0,0.001,0,0,0
"lineseries",6.00701111111112,37.1165,4.2062,5.6517,2.3869,0.4356,1.3422,1.3034,1.301,0.3196
"matlab_bgl-4.0.1/...ate/check_matlab_bgl",0.0324555555555555,0.2801,0.001,0.001,0.007,0,0.002,0.001,0,0
"matlab_bgl-4.0.1/private/components_mex (MEX-file)",0.00317777777777778,0.0206,0.002,0.003,0.001,0,0,0.002,0,0
"matlab_bgl-4.0.1/private/merge_options",0.000211111111111111,0.001,0,0,0,0,0,0,0,0.0009
"matlab_bgl-4.0.1/private/mst_mex (MEX-file)",0.232566666666667,1.9952,0.007,0.0109,0.079,0,0,0,0,0.001
"mean",0.807811111111112,5.1011,0.4812,0.8634,0.3476,0.0346,0.1289,0.126,0.1467,0.0408
"message",0.142766666666667,0.1767,0.159,0.1554,0.1167,0.1559,0.113,0.1387,0.108,0.1615
"mst",0.000877777777777778,0.001,0,0,0.001,0,0.001,0.001,0.001,0.0029
"mx_d_preconditioner (MEX-file)",7.38677777777778,49.7018,3.2213,6.4461,2.4719,0.2992,0.9753,0.9874,1.108,1.27
"newplot",11.6527222222222,71.9966,8.1374,11.2516,4.6514,0.7992,2.5079,2.5167,2.4169,0.5968
"newplot>ObserveAxesNextPlot",6.86853333333334,42.9637,4.6267,6.4175,2.6426,0.4856,1.3897,1.4324,1.5212,0.3374
"newplot>ObserveFigureNextPlot",3.95141111111111,24.0111,2.8028,3.8984,1.6206,0.2905,0.9415,0.9129,0.8681,0.2168
"num2str",0.000555555555555556,0.002,0,0.002,0,0.001,0,0,0,0
"num2str>convertUsingRecycledSprintf",0.000555555555555556,0.002,0,0.001,0,0.001,0,0,0,0.001
"num2str>handleNumericPrecision",0.000222222222222222,0,0,0.001,0,0,0,0.001,0,0
"pcg",8.68008888888889,43.4746,5.4944,8.4183,7.4626,1.7479,1.8068,1.6763,1.8045,6.2354
"princomp",0.3622,0.4749,2.3764,0.0276,0.3809,0,0,0,0,0
"process_hierarchy",0.00155555555555556,0.003,0.002,0.003,0.001,0.001,0.003,0.001,0,0
"process_sparse_matrix",0.0129888888888889,0.0361,0.0179,0.045,0.005,0.001,0.002,0.003,0.004,0.0029
"randsrc",0.836355555555556,5.2649,0.5429,0.8291,0.2785,0.0258,0.1901,0.1863,0.1763,0.0333
"randsrc>@(a,b)rand(a,b)",0.131277777777778,0.8069,0.0798,0.1144,0.0551,0.006,0.0359,0.035,0.0419,0.0065
"randsrc>create@(a,b)rand(a,b)",0,0,0,0,0,0,0,0,0,0
"repmat",0.00527777777777778,0.002,0.007,0.004,0.005,0.006,0.007,0.007,0.005,0.0045
"scribe/private/getplotmanager",2.75755555555556,16.8539,1.8992,2.7614,1.1208,0.1952,0.6154,0.5828,0.6581,0.1312
"set_matlab_bgl_default",0.000433333333333333,0,0,0.001,0,0,0.001,0,0,0.0019
"setdiff",0.000111111111111111,0,0,0,0,0.001,0,0,0,0
"setdiff>setdifflegacy",0.000766666666666667,0.001,0,0.004,0.001,0,0,0,0,0.0009
"sortrows",0.00133333333333333,0.008,0,0.002,0.001,0,0,0.001,0,0
"sortrows>sort_back_to_front",0.0311555555555555,0.1883,0.027,0.0292,0.01,0.002,0.007,0.008,0.008,0.0009
"sparfun/private/iterapp",4.41142222222222,24.4663,2.1178,3.4318,2.0531,0.9778,1.0556,0.9981,1.0871,3.5152
"sparfun/private/iterchk",0.0844,0.12,0.0896,0.1106,0.066,0.0837,0.0773,0.0683,0.0623,0.0818
"sparfun/private/itermsg",0.102522222222222,0.1062,0.1005,0.128,0.1156,0.0971,0.0723,0.0714,0.0893,0.1423
"sparfun/private/itermsg>getIterationInfo",0.0709333333333334,0.0643,0.0678,0.0643,0.0671,0.0625,0.0664,0.0624,0.0763,0.1073
"splitforest (MEX-file)",0.00176666666666667,0.0099,0,0.003,0,0,0.001,0.002,0,0
"steiner_group",0.00263333333333333,0.0099,0.001,0.0068,0.002,0.001,0,0,0.003,0
"unique",0.00878888888888889,0.0089,0.007,0.0118,0.007,0.0069,0.008,0.009,0.011,0.0095
"unique>uniquelegacy",0.0284777777777778,0.0575,0.02,0.0323,0.027,0.0267,0.0279,0.0239,0.023,0.018
"update_groups (MEX-file)",0.00155555555555556,0.008,0.002,0.002,0,0,0.001,0,0.001,0
